"","License.Issue.Date","License.Number","Animal.s.Name","Species","Primary.Breed","Secondary.Breed","ZIP.Code","Year","Avg.AGI","SES"
"61",2021-11-15,"8014960","Juno","Cat","Domestic Shorthair","Mix","98116",2021,98.37759883,"Medium"
"62",2021-11-26,"8028480","Louie","Cat","Domestic Shorthair","Mix","98125",2021,64.3982,"Medium"
"63",2021-11-26,"8028478","Lyra","Cat","Domestic Shorthair","Siamese","98125",2021,64.3982,"Medium"
"64",2021-12-06,"8028320","Zora","Cat","Ragdoll","","98109",2021,108.8438562,"High"
"65",2021-12-08,"74053","Franny","Cat","Domestic Shorthair","Norwegian Forest","98122",2021,77.25699641,"Medium"
"66",2021-12-09,"140706","Friar","Cat","Domestic Longhair","Mix","98133",2021,55.06720631,"Medium"
"67",2021-12-12,"8015180","Jiji","Cat","Maine Coon","Mix","98122",2021,77.25699641,"Medium"
"68",2021-12-13,"8034900","Catfish","Cat","Domestic Shorthair","Mix","98107",2021,77.42486188,"Medium"
"69",2021-12-15,"351170","Snowcap","Cat","Domestic Shorthair","","98112",2021,202.574526,"High"
"70",2021-12-18,"434832","Yuki","Cat","Domestic Shorthair","","98125",2021,64.3982,"Medium"
"71",2021-12-22,"8035084","Pumpkin","Cat","Domestic Shorthair","","98116",2021,98.37759883,"Medium"
"72",2021-12-31,"S139514","Hemingway","Cat","Domestic Shorthair","","98125",2021,64.3982,"Medium"
"73",2021-12-31,"28239","Winnie","Cat","Domestic Shorthair","Mix","98117",2021,93.9535877,"Medium"
"74",2022-01-01,"8014738","Rosalind","Cat","Domestic Shorthair","","98109",2022,108.8438562,"High"
"75",2022-01-01,"S101684","Puck","Cat","Domestic Shorthair","Mix","98112",2022,202.574526,"High"
"76",2022-01-01,"8035252","Marissa","Cat","Domestic Shorthair","Mix","98116",2022,98.37759883,"Medium"
"77",2022-01-01,"8015213","Marble","Cat","Mix","Mix","98144",2022,76.60438247,"Medium"
"78",2022-01-01,"8015212","Flint","Cat","Mix","Mix","98144",2022,76.60438247,"Medium"
"79",2022-01-01,"8035255","Dawson","Cat","Domestic Shorthair","Mix","98122",2022,77.25699641,"Medium"
"80",2022-01-02,"26417","Leo","Cat","Maine Coon","","98125",2022,64.3982,"Medium"
"81",2022-01-02,"8015107","Oscar","Cat","Domestic Shorthair","Mix","98117",2022,93.9535877,"Medium"
"82",2022-01-02,"S157974","Gwenith","Cat","Domestic Longhair","Mix","98104",2022,98.65607903,"Medium"
"83",2022-01-02,"8035279","Vladimir","Cat","Domestic Shorthair","Mix","98133",2022,55.06720631,"Medium"
"84",2022-01-03,"S111130","Guru","Cat","Chinese Domestic","","98109",2022,108.8438562,"High"
"85",2022-01-03,"8014886","Susu","Cat","Domestic Shorthair","Mix","98112",2022,202.574526,"High"
"86",2022-01-03,"S104310","Tamaki","Cat","Domestic Shorthair","Mix","98125",2022,64.3982,"Medium"
"87",2022-01-03,"S104309","Benio","Cat","Domestic Shorthair","Mix","98125",2022,64.3982,"Medium"
"88",2022-01-03,"S110376","Jack","Cat","Mix","Domestic Shorthair","98112",2022,202.574526,"High"
"89",2022-01-03,"S110375","Archie","Cat","Mix","Domestic Shorthair","98112",2022,202.574526,"High"
"90",2022-01-03,"S111266","Zuko","Cat","Siberian","","98112",2022,202.574526,"High"
"91",2022-01-03,"S111265","Sokka","Cat","Siberian","","98112",2022,202.574526,"High"
"92",2022-01-03,"S140229","Remington","Cat","Norwegian Forest","","98144",2022,76.60438247,"Medium"
"93",2022-01-03,"S110354","Magnus","Cat","Norwegian Forest","","98144",2022,76.60438247,"Medium"
"94",2022-01-03,"S157981","Dreidel","Cat","Domestic Shorthair","Mix","98116",2022,98.37759883,"Medium"
"95",2022-01-03,"8035317","Honey","Cat","Domestic Shorthair","Mix","98116",2022,98.37759883,"Medium"
"96",2022-01-03,"22145","Seahorse","Cat","Domestic Shorthair","","98122",2022,77.25699641,"Medium"
"97",2022-01-04,"S109831","Oreo","Cat","Siamese","Mix","98108",2022,50.01273345,"Medium"
"98",2022-01-04,"S127659","Barack Omid Duke","Cat","Domestic Shorthair","Mix","98103",2022,85.42767318,"Medium"
"99",2022-01-04,"8035340","Florencia","Cat","Mix","Mix","98122",2022,77.25699641,"Medium"
"100",2022-01-04,"8035343","Rylee","Cat","Domestic Medium Hair","Mix","98115",2022,100.7467087,"High"
"101",2022-01-04,"S151926","Jet","Cat","Domestic Shorthair","Mix","98115",2022,100.7467087,"High"
"102",2022-01-04,"S151927","Vickie","Cat","Snowshoe","Siamese","98115",2022,100.7467087,"High"
"103",2022-01-04,"S148858","Bespin","Cat","Ragdoll","","98119",2022,111.5524498,"High"
"104",2022-01-04,"8035345","Mr Cat","Cat","Domestic Shorthair","Mix","98126",2022,70.93753425,"Medium"
"105",2022-01-04,"S110516","Margo","Cat","Domestic Shorthair","","98133",2022,55.06720631,"Medium"
"106",2022-01-04,"8035361","Burt","Cat","American Shorthair","","98115",2022,100.7467087,"High"
